"CompoundID","myb_tri","col","log2fc","pvalue","FDR","VIP"
"Compound_0001",31457729.9533333,23646077.8466667,0.411813662127314,0.00891405426962833,0.418491389921499,1.76399360245433
"Compound_0002",30833451.1933333,20710566.17,0.574129386161807,0.0318289871333687,0.633902346439173,1.63210915987912
"Compound_0024",8030888.844,7093460.684,0.179070025110727,0.0240641363641611,0.617745919534452,1.74299633371999
"Compound_0039",52231976.5533333,33463366.0866667,0.642350725299469,0.018129715138225,0.617745919534452,1.75288457815742
"Compound_0045",67400401.1566667,90857245.3333333,-0.430844387400734,0.00245121364341132,0.392202897597337,1.82194371738793
"Compound_0047",20965178.1533333,16463082.1933333,0.348760629428,0.0314426484253973,0.633902346439173,1.6492041815017
"Compound_0049",27507473.64,20310873.4066667,0.437571365131818,0.0322776452465501,0.633902346439173,1.64895339379262
"Compound_0076",13763053.24,8121661.09733333,0.760953825155997,0.042896475153609,0.70858621920406,1.68092897321783
"Compound_0123",8487150.187,5353649.35966667,0.66475755540473,0.000171454096699093,0.0764685271277956,1.86111617883701
"Compound_0141",24856873.8766667,74378146.4833333,-1.58123392884144,7.82447625764922e-05,0.0697943282182311,1.8737987828509
"Compound_0150",200642781.066667,181944161.866667,0.141133490833685,0.0365049336502663,0.678383350334116,1.58089559707896
"Compound_0151",5120791232.66667,4373640789.66667,0.227532008025393,0.00553682746347342,0.398516587920103,1.77416228956771
"Compound_0160",12314210.4566667,8075618.20833333,0.60867951935033,0.0484961084174366,0.720975478472557,1.53975596519694
"Compound_0171",352554196.233333,314110504.333333,0.16657286248344,0.024325503211835,0.617745919534452,1.75640735487738
"Compound_0196",88183743.95,73287522.9366667,0.266945126518086,0.0314068529500522,0.633902346439173,1.74283541177259
"Compound_0214",577379639.833333,493718518.866667,0.225831474564512,0.00625474465345453,0.398516587920103,1.79973516674169
"Compound_0219",4517157.41933333,2492935.59266667,0.857569581494031,0.0326900313186121,0.633902346439173,1.60736548883851
"Compound_0271",32123551.7733333,21972623.4566667,0.54792428178927,0.0173764981970027,0.617745919534452,1.6809206644067
"Compound_0287",3166468.89466667,2296841.838,0.463223392145342,0.0479917634643985,0.720975478472557,1.55514040271969
"Compound_0288",2475924.927,1280212.844,0.951583883054098,0.00555727541754033,0.398516587920103,1.79298035756487
"Compound_0293",6843322.095,13051169.9633333,-0.93141038453166,0.0423586414947752,0.70858621920406,1.70520755929069
"Compound_0304",8837785.811,6880107.05266667,0.361253953885892,0.0213918994823185,0.617745919534452,1.72448560729995
"Compound_0317",4905203.90933333,1925760.30066667,1.34888496838314,0.0088050215921545,0.418491389921499,1.73773832837967
"Compound_0332",2609436.87266667,2093326.102,0.317941426135705,0.0460716575126587,0.720975478472557,1.55284658575244
"Compound_0360",25460254.6366667,16698255.83,0.608549430335545,0.0427786791730215,0.70858621920406,1.63114935135118
"Compound_0404",5228183.80833333,530880.1397,3.29985178698993,0.0239867670137629,0.617745919534452,1.76566017928523
"Compound_0409",29207870.8966667,23409672.59,0.319252440047742,0.00682272550246983,0.405724743213539,1.85050813584895
"Compound_0414",12537679.3933333,8840516.351,0.504067802388179,0.0256498081560099,0.618368347977319,1.65503070771293
"Compound_0452",397731701.066667,259219640.433333,0.617620524419913,0.0293520387673704,0.633902346439173,1.68028965702438
"Compound_0456",3560935.08233333,2384562.32233333,0.578531645725564,0.0380101671168184,0.684698367684077,1.73864914796758
"Compound_0483",13904337.55,27352790.9666667,-0.97615303580039,0.023885316181247,0.617745919534452,1.72113521342992
"Compound_0495",14540171.0033333,11593588.1633333,0.326717093460961,0.0273100682133593,0.631813519932063,1.72924663349664
"Compound_0550",73798341.5866667,50687344.4066667,0.541962815333127,0.0120874313372653,0.539099437642034,1.71018068772724
"Compound_0551",5600817.67733333,3524769.99266667,0.6681083470462,0.0232333790619492,0.617745919534452,1.67962357039283
"Compound_0557",312139956.5,270651019.833333,0.205759221747948,0.0249314496673097,0.617745919534452,1.69933018734629
"Compound_0579",8887154.315,4083719.562,1.12183774251661,0.0338960558401127,0.643303868284693,1.59774460097463
"Compound_0593",171351675.533333,81472851.72,1.07256898754807,0.0395031300203309,0.690917489767355,1.68991526893339
"Compound_0600",38354459.5266667,25573693.1466667,0.584733813635862,0.00502714250408184,0.398516587920103,1.79626764148136
"Compound_0621",2103434.54166667,2805303.70133333,-0.415410042506806,0.00540437651150955,0.398516587920103,1.77450162892258
"Compound_0649",14908288.29,8310654.82133333,0.843080561817624,0.00619228360781491,0.398516587920103,1.75956838316569
"Compound_0650",20137491.0133333,10193370.469,0.98225278320946,0.03837995334552,0.684698367684077,1.57196065588826
"Compound_0651",59698804.3966667,18508970.6933333,1.68947737116383,0.0219867329249604,0.617745919534452,1.71960339522552
"Compound_0662",11898111.7366667,6445798.95833333,0.884301534814299,0.0476237248438516,0.720975478472557,1.64876063502672
"Compound_0663",14492409.3433333,11069197.7266667,0.388746798666831,0.0234812724186431,0.617745919534452,1.67835663698937
"Compound_0673",15339580.9866667,13070988.62,0.230890811938329,0.00351751477665773,0.392202897597337,1.80050208486379
"Compound_0676",70304254.9366667,55635521.37,0.337605718003534,0.00241448074013472,0.392202897597337,1.85918772600131
"Compound_0719",6112148.88633333,3870770.469,0.659058926056891,0.0450189339635786,0.720975478472557,1.56149916965847
"Compound_0739",11296398.6133333,8648946.84433333,0.385266526639983,0.0149425053161517,0.617745919534452,1.80817841422845
"Compound_0751",452538665.7,372810145.366667,0.279599942953107,0.00764904488467277,0.418491389921499,1.75998915938516
"Compound_0775",1975619.29373333,11233836.262,-2.50747381203113,0.00351091073574075,0.392202897597337,1.82446932362042
"Compound_0781",3162554.317,2160651.26133333,0.549624024737004,0.00871499293432277,0.418491389921499,1.74080194678846
"Compound_0798",28056579.9266667,24187603.4266667,0.214071326109468,0.0210938789549128,0.617745919534452,1.71135274009761
"Compound_0821",129088838.033333,94555225.8133333,0.449135160684725,0.0480277374758504,0.720975478472557,1.54808756814185
"Compound_0828",1978838218.33333,1718174313.33333,0.203777259265906,0.00319145551652758,0.392202897597337,1.79580983496826
"Compound_0829",12986111604.3333,10878161965,0.255534701871554,0.0282854827325114,0.631813519932063,1.73043549747047
"Compound_0836",1636516414,1442578069.33333,0.181978675810548,0.0204725122604423,0.617745919534452,1.75013903197879
"Compound_0842",443480826.033333,391247202.3,0.180791294945745,0.0215306704512404,0.617745919534452,1.72546761308685
"Compound_0871",3298009.219,5031505.06266667,-0.609394583095357,0.0283324448400028,0.631813519932063,1.71156782072991
"Compound_0883",28125060.5933333,22919828.0966667,0.295259980879652,0.00301487571111108,0.392202897597337,1.80840478410568
"Compound_0889",86762295.7866667,72034559.6966667,0.268379000208372,0.0230291521192511,0.617745919534452,1.78498652808658
